"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"299","Patrick DiMarco","RB","BUF",7,5,41,53,31,0,7.6,0.77,0.03,0.03,0.07,9.8
"300","Diontae Spencer","WR","DEN",8,6,31,49,33,0,6.1,0.63,0.01,0.02,0.03,9.7
"301","Ced Wilson","WR","DAL",8,5,46,134,11,0,16.8,0.34,0.09,0.05,0.14,9.6
"302","Deon Cain","WR","IND",14,4,52,143,11,0,10.2,0.36,0.11,0.07,0.18,9.2
"303","DeAndrew White","WR","CAR",9,4,51,133,28,0,14.8,0.38,0.05,0.03,0.07,9.1
"304","Chad Beebe","WR","MIN",2,2,70,2,66,0,1,35,0,0.03,0.05,9
"305","Travis Benjamin","WR","LAC",16,6,30,214,19,0,13.4,0.14,0.12,0.08,0.2,9
"306","Dontrelle Inman","WR","IND",8,4,49,77,11,0,9.6,0.64,0.1,0.09,0.21,8.9
"307","Ventell Bryant","WR","DAL",1,1,15,15,0,1,15,1,0.01,0,0.01,8.5
"308","Devine Ozigbo","RB","JAC",5,3,23,6,20,0,1.2,3.83,0.01,0.04,0.06,8
"309","Ryan Finley","QB","CIN",0,0,0,568,0,0,Inf,0,1,0,0.7,7.7
"310","Dwayne Washington","RB","NO",1,1,6,-5,11,0,-5,-1.2,0,0,0,7.6
"311","Case Keenum","QB","WAS",0,0,0,1690,0,0,Inf,0,0.69,0,0.48,7.2
"312","Drew Lock","QB","DEN",0,0,0,1053,0,0,Inf,0,1,0,0.7,7.2
"313","Tra Carson","RB","GB",4,4,18,4,14,0,1,4.5,0.01,0.05,0.09,7.2
"314","Robert Griffin III","QB","BAL",0,0,0,282,0,0,Inf,0,0.22,0,0.15,7
"315","Devlin Hodges","QB","PIT",0,0,0,1167,0,0,Inf,0,0.7,0,0.49,6.8
"316","Elijhaa Penny","RB","NYG",4,2,9,-10,22,0,-2.5,-0.9,0,0.01,0.01,6.8
"317","Geremy Davis","WR","LAC",3,3,38,36,2,0,12,1.06,0.02,0.01,0.03,6.8
"318","Matthew Stafford","QB","DET",0,0,0,3097,0,0,Inf,0,1,0,0.7,6.6
"319","Jason Moore","WR","LAC",5,2,43,119,6,0,23.8,0.36,0.05,0.02,0.07,6.3
"320","Devin Funchess","WR","IND",5,3,32,49,6,0,9.8,0.65,0.31,0.19,0.49,6.2
"321","Johnny Holton","WR","PIT",15,3,21,377,10,0,25.1,0.06,0.13,0.04,0.15,6
"322","Taiwan Jones","RB","HOU",1,1,9,-3,12,0,-3,-3,0,0,0,5.9
"323","Cody Core","WR","NYG",5,3,28,32,3,0,6.4,0.88,0.02,0.02,0.04,5.8
"324","Donte Moncrief","WR","PIT",15,4,18,202,3,0,13.5,0.09,0.16,0.11,0.28,5.8
"325","Andre Roberts","WR","BUF",7,3,20,109,5,0,15.6,0.18,0.03,0.02,0.05,5.7
"326","Nick Bawden","RB","DET",6,4,17,0,20,0,0,Inf,0,0.02,0.03,5.7
"327","Steven Mitchell","WR","HOU",6,2,37,101,14,0,16.8,0.37,0.21,0.09,0.29,5.7
"328","Drew Brees","QB","NO",0,0,0,2441,0,0,Inf,0,0.9,0,0.63,5.6
"329","Russell Shepard","WR","NYG",8,3,25,72,13,0,9,0.35,0.1,0.1,0.22,5.5
"330","Gunner Olszewski","WR","NE",4,2,34,24,16,0,6,1.42,0.01,0.01,0.03,5.4
